key,press_time,release_time,platform_id,session_id,user_ids
'o',1.653421298659238e+18,1.653421298787377e+18,1,1,1
'u',1.653421298715375e+18,1.653421298811283e+18,1,1,1
'n',1.653421298979273e+18,1.653421299075282e+18,1,1,1
'd',1.653421299099267e+18,1.653421299210713e+18,1,1,1
Key.space,1.65342129919527e+18,1.653421299267338e+18,1,1,1
'm',1.65342129934737e+18,1.653421299427387e+18,1,1,1
'y',1.65342129956336e+18,1.653421299683363e+18,1,1,1
's',1.653421299691006e+18,1.653421299786649e+18,1,1,1
'e',1.653421299723098e+18,1.653421299874603e+18,1,1,1
'l',1.653421299882686e+18,1.653421299979166e+18,1,1,1
'f',1.653421300011258e+18,1.653421300131272e+18,1,1,1
Key.space,1.653421300099226e+18,1.653421300171281e+18,1,1,1
'v',1.653421300963179e+18,1.653421301115299e+18,1,1,1
'e',1.653421301027235e+18,1.653421301187302e+18,1,1,1
'r',1.653421301123246e+18,1.653421301242701e+18,1,1,1
'y',1.653421301235056e+18,1.6534213012665e+18,1,1,1
Key.space,1.653421301586979e+18,1.653421301683011e+18,1,1,1
'm',1.653421301843171e+18,1.653421301883277e+18,1,1,1
'o',1.65342130201921e+18,1.65342130207528e+18,1,1,1
'v',1.653421302283273e+18,1.653421302402632e+18,1,1,1
'e',1.653421302395128e+18,1.653421302547173e+18,1,1,1
'd',1.653421302491018e+18,1.653421302627273e+18,1,1,1
Key.space,1.653421314347004e+18,1.653421314434756e+18,1,1,1
'b',1.653421315226844e+18,1.653421315306714e+18,1,1,1
'y',1.653421315402837e+18,1.653421315490626e+18,1,1,1
Key.space,1.653421315602772e+18,1.653421315682624e+18,1,1,1
't',1.653421315802003e+18,1.653421315930718e+18,1,1,1
'h',1.653421316122677e+18,1.653421316194785e+18,1,1,1
'e',1.653421316234679e+18,1.653421316330731e+18,1,1,1
Key.space,1.653421316370636e+18,1.653421316442757e+18,1,1,1
'a',1.653421317762726e+18,1.653421294563526e+18,1,1,1
'f',1.653421317962801e+18,1.653421318074581e+18,1,1,1
'o',1.653421318106598e+18,1.65342131819477e+18,1,1,1
'r',1.653421318195475e+18,1.653421318354729e+18,1,1,1
'e',1.653421318298683e+18,1.653421318410549e+18,1,1,1
'm',1.653421318722664e+18,1.653421318834664e+18,1,1,1
'e',1.653421318922373e+18,1.653421319026623e+18,1,1,1
'n',1.653421319027639e+18,1.653421319130671e+18,1,1,1
't',1.653421319162744e+18,1.653421319258624e+18,1,1,1
'i',1.653421319266471e+18,1.653421319330566e+18,1,1,1
'o',1.653421319426752e+18,1.653421319506541e+18,1,1,1
'n',1.653421319514557e+18,1.653421319594537e+18,1,1,1
'e',1.653421319602399e+18,1.653421319738441e+18,1,1,1
'd',1.65342131969869e+18,1.653421319786706e+18,1,1,1
Key.backspace,1.653421320202576e+18,1.653421320266517e+18,1,1,1
Key.backspace,1.653421320370473e+18,1.653421321314323e+18,1,1,1
Key.backspace,1.653421320870527e+18,1.653421321530321e+18,1,1,1
Key.backspace,1.653421320954996e+18,1.653421321714512e+18,1,1,1
Key.backspace,1.653421321039291e+18,1.653421321882508e+18,1,1,1
Key.backspace,1.653421321123496e+18,1.653421322058449e+18,1,1,1
Key.backspace,1.653421321207663e+18,1.653421322218528e+18,1,1,1
Key.backspace,1.653421321290922e+18,1.65342132261848e+18,1,1,1
Key.backspace,1.653421321482464e+18,1.653421336162005e+18,1,1,1
Key.backspace,1.653421321642459e+18,1.653421336330053e+18,1,1,1
Key.backspace,1.653421321802514e+18,1.653421340721903e+18,1,1,1
Key.backspace,1.653421321978462e+18,1.653421340897855e+18,1,1,1
Key.backspace,1.653421322146527e+18,1.653421341057854e+18,1,1,1
Key.backspace,1.653421322530489e+18,1.653421341201841e+18,1,1,1
'c',1.653421324106399e+18,1.653421294651058e+18,1,1,1
'l',1.653421324210484e+18,1.653421324282455e+18,1,1,1
'i',1.65342132440252e+18,1.653421324506336e+18,1,1,1
'p',1.653421324610426e+18,1.653421324674373e+18,1,1,1
Key.space,1.653421324786501e+18,1.653421324874439e+18,1,1,1
Key.shift,1.653421324962644e+18,1.653421325186373e+18,1,1,1
'I',1.65342132505836e+18,1.653421325154321e+18,1,1,1
Key.space,1.653421325274322e+18,1.653421325354282e+18,1,1,1
